company_id,name,search_rating,review_count,overall_rating,복지/급여,워라밸,사내문화,승진 기회,경영진,기업 추천율,CEO 지지율,성장 가능성,검색기업명
251984,(주)에스케어,2.4,12,2.4,2.3,2.0,2.3,2.6,1.9,42%,33%,0%,에스케어
121188,나인팜스(주),2.0,4,2.0,1.3,2.8,1.8,2.3,1.5,0%,25%,0%,나인팜스
203029,해오름종합건설(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,해오름종합건설
463672,(주)소클,2.0,1,2.0,2.0,4.0,2.0,2.0,2.0,0%,0%,0%,소클
190942,건축사사무소테트라아키텍트(주),1.0,1,1.0,2.0,2.0,2.0,1.0,1.0,0%,0%,0%,건축사사무소테트라아키텍트
377081,(주)피스마이너스원,3.0,1,3.0,4.0,3.0,3.0,3.0,2.0,0%,0%,0%,이너스원
103509,천마이앤씨(주),2.8,4,2.8,1.8,1.8,2.5,3.3,2.5,0%,25%,0%,천마이앤씨
357442,(주)더블유지우리조트,2.5,4,2.5,2.3,3.0,2.8,2.3,2.5,25%,50%,0%,더블유지우리조트
453095,메디슨컴패니언(주),5.0,1,5.0,3.0,2.0,5.0,1.0,5.0,100%,100%,0%,메디슨컴패니언
315298,만경기술공사(주),2.4,7,2.4,2.7,2.7,2.4,3.0,3.0,29%,50%,14%,만경
383212,일진하이솔루스(주),2.3,60,2.3,2.4,2.2,2.2,1.9,1.7,23%,17%,23%,하이솔
442817,(주)세계로유통 안산역점,5.0,1,5.0,3.0,3.0,5.0,3.0,3.0,0%,100%,0%,세계로유통안산역점
321109,(주)메가럭,1.9,7,1.9,2.1,2.3,1.3,1.4,1.4,0%,14%,0%,메가럭
7486,다올투자증권(주),2.9,136,2.9,3.0,3.0,2.6,3.0,2.2,32%,37%,16%,다올
237891,이피네트웍스(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,이피네트웍스
25343,스타알테크놀러지스코리아(유),2.5,2,2.5,2.0,2.5,2.5,2.5,2.5,50%,100%,0%,스타알테크놀러지스코리아
29349,삼흥산업(주),3.0,1,3.0,1.0,2.0,3.0,2.0,2.0,0%,0%,0%,삼흥산업
195310,서도건설(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,서도건설
137008,엔티텔레콤(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,엔티텔레콤
75065,(주)브이엠에스솔루션스,3.4,57,3.4,4.0,3.5,3.1,3.5,3.0,54%,82%,25%,브이엠에스
115468,우신토건(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,우신토건
179733,부성전력(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,부성전력
119218,두두인터내셔널(주),5.0,1,5.0,5.0,3.0,4.0,4.0,5.0,100%,100%,100%,두두인터내셔널
